MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
SR_ibe_v1-6c_Zr_1_Ch_v2-3c_B_Ch_1TrU_Ch_1x1x1,66.3038000000,2.6581271182,-10.99744,-174848.235469,0.00000,-37945.898337,0.00000,7376.28780,-23278.97001,137.75103,98295.62964388793625,23-dmb_433K_1Bar
SR_jaj_v1-3c_B_Ch_v2-4c_bicyclooctane_Ch_v3-4c_Cu_1_Ch_1DoU_Ch_1TrU_Ch_2x2x1,90.2862000000,10.2594251735,-17.40368,-256259.503076,0.00000,-100778.207162,0.00000,10363.24103,-97665.61637,302.92669,98295.62964388793625,23-dmb_433K_1Bar
SR_jjt_v1-6c_Cr_1_Ch_v2-3c_triazine_Ch_v3-3c_B_Ch_1B_2Br_Ch_2x2x1,114.7578000000,5.0432378759,-23.53996,-733231.736998,0.00000,-265232.495499,0.00000,24892.70748,-341790.57890,306.06754,98295.62964388793625,23-dmb_433K_1Bar
SR_jjt_v1-6c_Cr_1_Ch_v2-3c_triazine_Ch_v3-3c_pyrrole_Ch_1B_4Br_Ch_2x2x1,73.8732000000,2.1822915383,-24.82186,-330998.478516,0.00000,-71324.448411,0.00000,5710.90325,-190322.77963,250.10717,98295.62964388793625,23-dmb_433K_1Bar
SR_jjt_v1-6c_Cr_1_Ch_v2-3c_triazine_Ch_v3-3c_triazine_Ch_2B_4CN_Ch_ntn_edge_2x2x1,44.5208000000,1.9445715112,-6.12903,-129494.561857,0.00000,-13626.415801,0.00000,4842.98624,-15756.06120,76.44439,98295.62964388793625,23-dmb_433K_1Bar
SR_kag_v1-6c_Zr_1_Ch_1TrU_Ch_2x2x1,18.8678000000,0.6414339249,-5.95425,-56359.044231,0.00000,-3185.920819,0.00000,1605.15214,-5222.30528,41.02999,98295.62964388793625,23-dmb_433K_1Bar
SR_kew_v1-6c_Cr_1_Ch_v2-6c_B_Ch_v3-3c_triazine_Ch_2B_2NH2_Ch_1x1x2,44.5934000000,4.2607993093,-6.45729,-126836.386142,0.00000,-20490.939628,0.00000,4129.35013,-19056.87406,113.32389,98295.62964388793625,23-dmb_433K_1Bar
SR_key_v1-6c_B_Ch_v2-6c_Zn_1_Ch_v3-3c_B_Ch_1B_4CN_Ch_2x2x3,68.2174000000,1.1901835514,-46.16224,-460829.663060,0.00000,-19104.022384,0.00000,8002.90484,-282268.48007,107.84144,98295.62964388793625,23-dmb_433K_1Bar
SR_key_v1-6c_B_Ch_v2-6c_Zr_1_Ch_v3-3c_B_Ch_2B_2CN_Ch_1x1x2,51.6422000000,3.5036060103,-10.49466,-177389.836457,0.00000,-28066.944385,0.00000,5000.54108,-57987.22756,149.59760,98295.62964388793625,23-dmb_433K_1Bar
SR_kez_v1-6c_Cr_1_Ch_v2-3c_pyrrole_Ch_v3-6c_B_Ch_ntn_edge_1TrU_Ch_2x2x2,16.0000000000,0.6185036230,-nan,-163884.717352,0.00000,-379.570517,0.00000,1139.38908,-118908.23612,78.68821,98295.62964388793625,23-dmb_433K_1Bar
SR_koh_v1-6c_Zn_1_Ch_v2-6c_Zn_1_Ch_v3-3c_triazine_Ch_1B_4CN_Ch_ntn_edge_1x1x1,56.1402000000,2.2112236646,-12.26570,-233636.435124,0.00000,-30975.002104,0.00000,6038.65237,-102812.78053,147.65758,98295.62964388793625,23-dmb_433K_1Bar
SR_kxe_v1-3c_B_Ch_v2-12c_Zr_1_Ch_2B_2F_Ch_ntn_edge_1x1x1,171.8974000000,6.5893438702,-16.58151,-531796.148744,0.00000,-161880.970378,0.00000,23938.20760,-200483.87839,262.64087,98295.62964388793625,23-dmb_433K_1Bar
SR_lcy_v1-6c_Cr_1_Ch_2B_4Br_Ch_1x1x1,28.1776000000,2.5283941471,-14.34623,-81973.156121,0.00000,-24407.946823,0.00000,4183.07514,-25533.74547,217.26985,98295.62964388793625,23-dmb_433K_1Bar
SR_lnj_v1-6c_Cr_1_Ch_v2-3c_triazine_Ch_1DoU_Ch_1TrU_Ch_2x2x1,88.9557000000,9.2299762241,-18.15452,-444076.751641,0.00000,-197720.562459,0.00000,22248.96538,-130841.84754,301.65781,98295.62964388793625,23-dmb_433K_1Bar
SR_lwg_v1-4c_Cu_1_Ch_v2-3c_pyrrole_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_2CH3_Ch_2x2x1,105.7404000000,3.2521133122,-40.02535,-524762.952858,0.00000,-105283.039521,0.00000,14447.14603,-325422.42631,225.16426,98295.62964388793625,23-dmb_433K_1Bar
SR_lwh_v1-6c_B_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2B_2NH2_Ch_1x1x1,119.6396000000,3.5940299708,-4.95458,-299385.209994,0.00000,-39089.607427,0.00000,9745.40254,5119.86676,66.97769,98295.62964388793625,23-dmb_433K_1Bar
SR_maw_v1-4c_Cu_1_Ch_v2-3c_B_Ch_1TrU_Ch_1DoU_Ch_1x1x1,79.9962000000,8.2943840271,-17.87760,-256678.615730,0.00000,-76404.305117,0.00000,13156.66250,-103535.08078,261.14606,98295.62964388793625,23-dmb_433K_1Bar
SR_mcn_v1-3c_pyrrole_Ch_v2-6c_Zn_1_Ch_2B_2OH_Ch_ntn_edge_1x1x2,80.6080000000,5.7551736860,-20.80407,-265692.238121,0.00000,-79470.952356,0.00000,10156.49966,-115040.47705,265.50702,98295.62964388793625,23-dmb_433K_1Bar
SR_mcn_v1-3c_triazine_Ch_v2-6c_Zn_1_Ch_2B_2Br_Ch_ntn_edge_1x1x1,29.6790000000,2.4433839038,-6.22188,-78435.362932,0.00000,-12163.455957,0.00000,2730.85489,-5449.53795,111.47610,98295.62964388793625,23-dmb_433K_1Bar
